<b>[11-11-2019 04:02:30 AM] Rin has edited Rin Helsing(76561198093375356) Stats! OLD - Bank: 400000 | Cash: 0 | Medic: 0 | Cop: 0 | Admin: 5</b>
<b>[11-11-2019 04:02:30 AM] Rin has edited Rin Helsing(76561198093375356) Stats! NEW - Bank: 400000 | Cash: 0 | Medic: 0 | Cop: 1 | Admin: 5</b>
<b>[11-11-2019 03:59:11 AM] Rin has edited Rin Helsing(76561198093375356) Stats! OLD - Bank: 400000 | Cash: 0 | Medic: 0 | Cop: 0 | Admin: 5</b>
<b>[11-11-2019 03:59:11 AM] Rin has edited Rin Helsing(76561198093375356) Stats! NEW - Bank: 400000 | Cash: 0 | Medic: 0 | Cop: 0 | Admin: 5</b>
<b>[11-11-2019 03:58:21 AM] Rin has edited Rin Helsing(76561198093375356) Stats! OLD - Bank: 400000 | Cash: 0 | Medic: 0 | Cop: 0 | Admin: 5</b>
<b>[11-11-2019 03:58:21 AM] Rin has edited Rin Helsing(76561198093375356) Stats! NEW - Bank: 400000 | Cash: 0 | Medic: 0 | Cop: 0 | Admin: 5</b>
<b>[11-11-2019 03:57:54 AM] Rin has edited Rin Helsing(76561198093375356) Stats! OLD - Bank: 400000 | Cash: 0 | Medic: 0 | Cop: 0 | Admin: 5</b>
<b>[11-11-2019 03:57:54 AM] Rin has edited Rin Helsing(76561198093375356) Stats! NEW - Bank: 400000 | Cash: 0 | Medic: 0 | Cop: 0 | Admin: 5</b>
<b>[11-11-2019 03:57:47 AM] Rin has edited Rin Helsing(76561198093375356) Stats! OLD - Bank: 400000 | Cash: 0 | Medic: 0 | Cop: 0 | Admin: 5</b>
<b>[11-11-2019 03:57:47 AM] Rin has edited Rin Helsing(76561198093375356) Stats! NEW - Bank: 400000 | Cash: 0 | Medic: 0 | Cop: 0 | Admin: 5</b>
<b>[11-11-2019 03:57:38 AM] Rin has edited Rin Helsing(76561198093375356) Stats! OLD - Bank: 40000 | Cash: 0 | Medic: 0 | Cop: 0 | Admin: 5</b>
<b>[11-11-2019 03:57:38 AM] Rin has edited Rin Helsing(76561198093375356) Stats! NEW - Bank: 400000 | Cash: 0 | Medic: 0 | Cop: 0 | Admin: 5</b>
<b>[11-11-2019 03:52:06 AM] Rin has edited Rin Helsing(76561198093375356) Stats! OLD - Bank: 40000 | Cash: 0 | Medic: 0 | Cop: 0 | Admin: 5</b>
<b>[11-11-2019 03:52:06 AM] Rin has edited Rin Helsing(76561198093375356) Stats! NEW - Bank: 400000 | Cash: 0 | Medic: 0 | Cop: 0 | Admin: 5</b>
<b>[23-07-2019 04:26:08 AM] brandon has edited [NATO] B. Trapstar(76561198293578146) Stats! OLD - Bank: 20350 | Cash: 0 | Medic: 0 | Cop: 10 | Admin: 5</b>
<b>[23-07-2019 04:26:08 AM] brandon has edited [NATO] B. Trapstar(76561198293578146) Stats! NEW - Bank: 180350 | Cash: 0 | Medic: 0 | Cop: 10 | Admin: 5</b>
[23-07-2019 03:35:54 AM] Haywood has edited [NATO] Pfc. J. Summers(76561198274290072) Stats! OLD - Bank: 80000 | Cash: 0 | Medic: 0 | Cop: 2 | Admin: 0
[23-07-2019 03:35:54 AM] Haywood has edited [NATO] Pfc. J. Summers(76561198274290072) Stats! NEW - Bank: 80000 | Cash: 0 | Medic: 0 | Cop: 2 | Admin: 0
[23-07-2019 03:34:36 AM] Alek Belokov has edited [APD] Sgt. A. Baker(76561198152357092) Stats! OLD - Bank: 80000 | Cash: 0 | Medic: 5 | Cop: 0 | Admin: 1
[23-07-2019 03:34:36 AM] Alek Belokov has edited [APD] Sgt. A. Baker(76561198152357092) Stats! NEW - Bank: 80000 | Cash: 0 | Medic: 5 | Cop: 0 | Admin: 2
[23-07-2019 03:34:13 AM] Alek Belokov has edited [APD] Sgt. A. Baker(76561198152357092) Stats! OLD - Bank: 80000 | Cash: 0 | Medic: 5 | Cop: 0 | Admin: 0
[23-07-2019 03:34:13 AM] Alek Belokov has edited [APD] Sgt. A. Baker(76561198152357092) Stats! NEW - Bank: 80000 | Cash: 0 | Medic: 5 | Cop: 0 | Admin: 1
[23-07-2019 03:32:22 AM] Haywood has edited Jake Summers(76561198274290072) Stats! OLD - Bank: 80000 | Cash: 0 | Medic: 0 | Cop: 0 | Admin: 0
[23-07-2019 03:32:22 AM] Haywood has edited Jake Summers(76561198274290072) Stats! NEW - Bank: 80000 | Cash: 0 | Medic: 0 | Cop: 2 | Admin: 0
[23-07-2019 03:29:25 AM] John Silver has edited [APD] Sgt. A. Baker(76561198152357092) Stats! OLD - Bank: 80000 | Cash: 0 | Medic: 0 | Cop: 0 | Admin: 0
[23-07-2019 03:29:25 AM] John Silver has edited [APD] Sgt. A. Baker(76561198152357092) Stats! NEW - Bank: 80000 | Cash: 0 | Medic: 5 | Cop: 0 | Admin: 
[23-07-2019 03:21:02 AM] Alek Belokov has edited [TMP] Pvt. J. Lesniewski(76561198134446847) Stats! OLD - Bank: 239614 | Cash: 0 | Medic: 0 | Cop: 1 | Admin: 0
[23-07-2019 03:21:02 AM] Alek Belokov has edited [TMP] Pvt. J. Lesniewski(76561198134446847) Stats! NEW - Bank: 239614 | Cash: 0 | Medic: 0 | Cop: 2 | Admin: 0
[23-07-2019 03:04:56 AM] Alek Belokov has edited [NATO] Cpl. J Reddington(76561198404773914) Stats! OLD - Bank: 271240 | Cash: 36513 | Medic: 0 | Cop: 5 | Admin: 3
[23-07-2019 03:04:56 AM] Alek Belokov has edited [NATO] Cpl. J Reddington(76561198404773914) Stats! NEW - Bank: 271240 | Cash: 36513 | Medic: 0 | Cop: 5 | Admin: 3
[23-07-2019 02:39:53 AM] Alek Belokov has edited Kyle Wayne(76561198041912322) Stats! OLD - Bank: 171383 | Cash: 0 | Medic: 0 | Cop: 0 | Admin: 0
[23-07-2019 02:39:53 AM] Alek Belokov has edited Kyle Wayne(76561198041912322) Stats! NEW - Bank: 171383 | Cash: 0 | Medic: 0 | Cop: 0 | Admin: 1
[23-07-2019 02:39:39 AM] brandon has edited [NATO] Cpl. A. Belokov(76561198075021625) Stats! OLD - Bank: 1475247 | Cash: 0 | Medic: 0 | Cop: 10 | Admin: 4
[23-07-2019 02:39:39 AM] brandon has edited [NATO] Cpl. A. Belokov(76561198075021625) Stats! NEW - Bank: 1475247 | Cash: 0 | Medic: 0 | Cop: 10 | Admin: 5
[23-07-2019 02:35:43 AM] Jason Smith has edited [NATO] Pfc. T. Ambushe(76561198353127618) Stats! OLD - Bank: 886026 | Cash: 0 | Medic: 5 | Cop: 2 | Admin: 0
[23-07-2019 02:35:43 AM] Jason Smith has edited [NATO] Pfc. T. Ambushe(76561198353127618) Stats! NEW - Bank: 886026 | Cash: 0 | Medic: 5 | Cop: 5 | Admin: 
[23-07-2019 02:26:43 AM] Jason Smith has edited Marcus Manarello(76561198161941338) Stats! OLD - Bank: 158744 | Cash: 0 | Medic: 5 | Cop: 0 | Admin: 0
[23-07-2019 02:26:43 AM] Jason Smith has edited Marcus Manarello(76561198161941338) Stats! NEW - Bank: 158744 | Cash: 0 | Medic: 5 | Cop: 0 | Admin: 
[23-07-2019 02:25:50 AM] Jason Smith has edited [NATO] Cpl. R. DeYoung(76561198109351716) Stats! OLD - Bank: 134508 | Cash: 0 | Medic: 0 | Cop: 3 | Admin: 0
[23-07-2019 02:25:50 AM] Jason Smith has edited [NATO] Cpl. R. DeYoung(76561198109351716) Stats! NEW - Bank: 134508 | Cash: 0 | Medic: 0 | Cop: 5 | Admin: 
[23-07-2019 02:25:11 AM] Jason Smith has edited [TMP] Col. K. Gunz(76561198070796952) Stats! OLD - Bank: 9452565 | Cash: 230450 | Medic: 5 | Cop: 10 | Admin: 0
[23-07-2019 02:25:11 AM] Jason Smith has edited [TMP] Col. K. Gunz(76561198070796952) Stats! NEW - Bank: 9452565 | Cash: 230450 | Medic: 5 | Cop: 10 | Admin: 
[23-07-2019 02:24:30 AM] Jason Smith has edited [TMP] Sgt. C.Wilson(76561198076621729) Stats! OLD - Bank: 607620 | Cash: 15 | Medic: 0 | Cop: 4 | Admin: 0
[23-07-2019 02:24:30 AM] Jason Smith has edited [TMP] Sgt. C.Wilson(76561198076621729) Stats! NEW - Bank: 607620 | Cash: 15 | Medic: 0 | Cop: 5 | Admin: 
[23-07-2019 02:23:55 AM] Jason Smith has edited [TMP] Pvt. A. Booth(76561198041001394) Stats! OLD - Bank: 24602 | Cash: 846 | Medic: 5 | Cop: 1 | Admin: 1
[23-07-2019 02:23:55 AM] Jason Smith has edited [TMP] Pvt. A. Booth(76561198041001394) Stats! NEW - Bank: 24602 | Cash: 846 | Medic: 5 | Cop: 2 | Admin: 
[23-07-2019 02:22:13 AM] Jason Smith has edited [TMP] Gen D. Wolffe(76561198125086726) Stats! OLD - Bank: 638326 | Cash: 3902 | Medic: 0 | Cop: 10 | Admin: 0
[23-07-2019 02:22:13 AM] Jason Smith has edited [TMP] Gen D. Wolffe(76561198125086726) Stats! NEW - Bank: 638326 | Cash: 3902 | Medic: 0 | Cop: 10 | Admin: 
[23-07-2019 02:21:48 AM] Jason Smith has edited [TMP] Gen D. Wolffe(76561198125086726) Stats! OLD - Bank: 638326 | Cash: 3902 | Medic: 0 | Cop: 8 | Admin: 0
[23-07-2019 02:21:48 AM] Jason Smith has edited [TMP] Gen D. Wolffe(76561198125086726) Stats! NEW - Bank: 638326 | Cash: 3902 | Medic: 0 | Cop: 10 | Admin: 
[23-07-2019 02:07:35 AM] John Silver has edited [TMP] SSgt. A. Authento(76561198143613231) Stats! OLD - Bank: 22404 | Cash: 0 | Medic: 0 | Cop: 5 | Admin: 1
[23-07-2019 02:07:35 AM] John Silver has edited [TMP] SSgt. A. Authento(76561198143613231) Stats! NEW - Bank: 22404 | Cash: 0 | Medic: 0 | Cop: 6 | Admin: 
[23-07-2019 02:07:10 AM] John Silver has edited [TMP] Col. K. Gunz(76561198070796952) Stats! OLD - Bank: 9452565 | Cash: 230450 | Medic: 5 | Cop: 10 | Admin: 0
[23-07-2019 02:07:10 AM] John Silver has edited [TMP] Col. K. Gunz(76561198070796952) Stats! NEW - Bank: 3452565 | Cash: 230450 | Medic: 5 | Cop: 10 | Admin: 
[23-07-2019 02:06:39 AM] John Silver has edited [TMP] Col. K. Gunz(76561198070796952) Stats! OLD - Bank: 9452565 | Cash: 230450 | Medic: 5 | Cop: 10 | Admin: 0
[23-07-2019 02:06:39 AM] John Silver has edited [TMP] Col. K. Gunz(76561198070796952) Stats! NEW - Bank: 2452565 | Cash: 230450 | Medic: 5 | Cop: 10 | Admin: 
[23-07-2019 02:06:19 AM] John Silver has edited [NATO] Pfc. R. DeYoung(76561198109351716) Stats! OLD - Bank: 134508 | Cash: 0 | Medic: 0 | Cop: 2 | Admin: 0
[23-07-2019 02:06:19 AM] John Silver has edited [NATO] Pfc. R. DeYoung(76561198109351716) Stats! NEW - Bank: 134508 | Cash: 0 | Medic: 0 | Cop: 3 | Admin: 
[Tuesday 23rd of July 2019 01:49:32 AM] brandon has added a note to [TMP] Lt. J. Smith(76561198140151368) Account!
[23-07-2019 01:48:56 AM] brandon has edited [TMP] Lt. J. Smith(76561198140151368) Stats! OLD - Bank: 7401 | Cash: 0 | Medic: 0 | Cop: 10 | Admin: 3
[23-07-2019 01:48:56 AM] brandon has edited [TMP] Lt. J. Smith(76561198140151368) Stats! NEW - Bank: 500000 | Cash: 0 | Medic: 0 | Cop: 10 | Admin: 3
[23-07-2019 01:27:34 AM] John Silver has edited Timmy Wong(76561198273608603) Stats! OLD - Bank: 88229 | Cash: 9250 | Medic: 0 | Cop: 0 | Admin: 0
[23-07-2019 01:27:34 AM] John Silver has edited Timmy Wong(76561198273608603) Stats! NEW - Bank: 253229 | Cash: 9250 | Medic: 0 | Cop: 0 | Admin: 
[Tuesday 23rd of July 2019 01:25:04 AM] Alek Belokov has Issued [NATO] Cpt. J. Spencer(76561198293157190) 20 Warning Points. Reason: Staff Disrespect
[23-07-2019 01:24:00 AM] Ben Jarino has edited [NATO] Cpt. J. Spencer(76561198293157190) Stats! OLD - Bank: 584254 | Cash: 0 | Medic: 0 | Cop: 7 | Admin: 0
[23-07-2019 01:24:00 AM] Ben Jarino has edited [NATO] Cpt. J. Spencer(76561198293157190) Stats! NEW - Bank: 584254 | Cash: 0 | Medic: 0 | Cop: 0 | Admin: 0
[Tuesday 23rd of July 2019 12:57:17 AM] John Silver has Issued Chase mcqueen forehead(76561198202523032) 10 Warning Points. Reason: rdm
[23-07-2019 12:53:41 AM] John Silver has edited Jack Snowcone(76561198087998875) Stats! OLD - Bank: 105058 | Cash: 0 | Medic: 0 | Cop: 0 | Admin: 0
[23-07-2019 12:53:41 AM] John Silver has edited Jack Snowcone(76561198087998875) Stats! NEW - Bank: 205058 | Cash: 0 | Medic: 0 | Cop: 0 | Admin: 
[Tuesday 23rd of July 2019 12:48:21 AM] John Silver has Issued [TMP] Lt. O.Jay(76561198799120969) 20 Warning Points. Reason: rdm
[23-07-2019 12:47:02 AM] John Silver has edited [TMP] Lt. O.Jay(76561198799120969) Stats! OLD - Bank: 400589 | Cash: 0 | Medic: 0 | Cop: 6 | Admin: 0
[23-07-2019 12:47:02 AM] John Silver has edited [TMP] Lt. O.Jay(76561198799120969) Stats! NEW - Bank: 400589 | Cash: 0 | Medic: 0 | Cop: 0 | Admin: 
<b>[23-07-2019 12:20:52 AM] Chriss James has edited [TMP] Pvt. C. James(76561198178942257) Stats! OLD - Bank: 74889 | Cash: 1389 | Medic: 0 | Cop: 2 | Admin: 4</b>
<b>[23-07-2019 12:20:52 AM] Chriss James has edited [TMP] Pvt. C. James(76561198178942257) Stats! NEW - Bank: 74889 | Cash: 1389 | Medic: 0 | Cop: 3 | Admin: </b>
[Tuesday 23rd of July 2019 12:14:16 AM] John Silver has removed 10 Points from Callum Musk
[Tuesday 23rd of July 2019 12:12:40 AM] Chriss James has Issued Callum Musk(76561198874228425) 5 Warning Points. Reason: RDM
[23-07-2019 12:12:38 AM] John Silver has edited Uvuvwevwevwe Ossas(76561198842733654) Stats! OLD - Bank: 1522111 | Cash: 0 | Medic: 0 | Cop: 0 | Admin: 0
[23-07-2019 12:12:38 AM] John Silver has edited Uvuvwevwevwe Ossas(76561198842733654) Stats! NEW - Bank: 1622111 | Cash: 0 | Medic: 0 | Cop: 0 | Admin: 
[23-07-2019 12:11:26 AM] John Silver has edited Liam Ossas(76561198385969359) Stats! OLD - Bank: 508936 | Cash: 0 | Medic: 0 | Cop: 0 | Admin: 0
[23-07-2019 12:11:26 AM] John Silver has edited Liam Ossas(76561198385969359) Stats! NEW - Bank: 608936 | Cash: 0 | Medic: 0 | Cop: 0 | Admin: 
[23-07-2019 12:11:04 AM] John Silver has edited Uvuvwevwevwe Ossas(76561198842733654) Stats! OLD - Bank: 1511611 | Cash: 0 | Medic: 0 | Cop: 0 | Admin: 0
[23-07-2019 12:11:04 AM] John Silver has edited Uvuvwevwevwe Ossas(76561198842733654) Stats! NEW - Bank: 1611611 | Cash: 0 | Medic: 0 | Cop: 0 | Admin: 
[Tuesday 23rd of July 2019 12:10:12 AM] John Silver has Issued Callum Musk(76561198874228425) 5 Warning Points. Reason: rdm
[23-07-2019 12:09:41 AM] John Silver has edited Huskiii. Richman(76561198425446952) Stats! OLD - Bank: 620423 | Cash: 0 | Medic: 0 | Cop: 0 | Admin: 0
[23-07-2019 12:09:41 AM] John Silver has edited Huskiii. Richman(76561198425446952) Stats! NEW - Bank: 820423 | Cash: 0 | Medic: 0 | Cop: 0 | Admin: 
[22-07-2019 11:40:20 PM] Chriss James has edited Oli King(76561198964890242) Stats! OLD - Bank: 36325 | Cash: 0 | Medic: 0 | Cop: 0 | Admin: 0
[22-07-2019 11:40:20 PM] Chriss James has edited Oli King(76561198964890242) Stats! NEW - Bank: 136325 | Cash: 0 | Medic: 0 | Cop: 0 | Admin: 
<b>[22-07-2019 11:30:40 PM] Alek Belokov has edited [NATO] Cpl. A. Belokov(76561198075021625) Stats! OLD - Bank: 1489217 | Cash: 27071 | Medic: 0 | Cop: 10 | Admin: 4</b>
<b>[22-07-2019 11:30:40 PM] Alek Belokov has edited [NATO] Cpl. A. Belokov(76561198075021625) Stats! NEW - Bank: 1489217 | Cash: 27071 | Medic: 0 | Cop: 10 | Admin: </b>
<b>[22-07-2019 11:30:12 PM] Alek Belokov has edited [NATO] Cpl. A. Belokov(76561198075021625) Stats! OLD - Bank: 1489217 | Cash: 27071 | Medic: 0 | Cop: 10 | Admin: 4</b>
<b>[22-07-2019 11:30:12 PM] Alek Belokov has edited [NATO] Cpl. A. Belokov(76561198075021625) Stats! NEW - Bank: 1489217 | Cash: 27071 | Medic: 0 | Cop: 10 | Admin: </b>
[22-07-2019 11:19:43 PM] John Silver has edited Drakoy Logas(76561198039231374) Stats! OLD - Bank: 1663878 | Cash: 0 | Medic: 5 | Cop: 5 | Admin: 0
[22-07-2019 11:19:43 PM] John Silver has edited Drakoy Logas(76561198039231374) Stats! NEW - Bank: 1863878 | Cash: 0 | Medic: 5 | Cop: 5 | Admin: 
[22-07-2019 11:19:23 PM] John Silver has edited Drakoy Logas(76561198039231374) Stats! OLD - Bank: 1363878 | Cash: 0 | Medic: 5 | Cop: 5 | Admin: 0
[22-07-2019 11:19:23 PM] John Silver has edited Drakoy Logas(76561198039231374) Stats! NEW - Bank: 1663878 | Cash: 0 | Medic: 5 | Cop: 5 | Admin: 
[Monday 22nd of July 2019 11:18:23 PM] John Silver has Issued [TMP] PFC. R. Capone(76561198273645911) 5 Warning Points. Reason: NLR
[22-07-2019 10:59:23 PM] Jason Smith has edited Matt Jonzie(76561198326773085) Stats! OLD - Bank: 408020 | Cash: 0 | Medic: 5 | Cop: 5 | Admin: 0
[22-07-2019 10:59:23 PM] Jason Smith has edited Matt Jonzie(76561198326773085) Stats! NEW - Bank: 408020 | Cash: 0 | Medic: 5 | Cop: 0 | Admin: 
[22-07-2019 10:47:21 PM] brandon has edited [NATO] G. Trapstar(76561198069712919) Stats! OLD - Bank: 180000 | Cash: 0 | Medic: 0 | Cop: 5 | Admin: 0
[22-07-2019 10:47:21 PM] brandon has edited [NATO] G. Trapstar(76561198069712919) Stats! NEW - Bank: 180000 | Cash: 0 | Medic: 0 | Cop: 5 | Admin: 0
[22-07-2019 10:43:37 PM] brandon has edited George Zahi(76561198069712919) Stats! OLD - Bank: 80000 | Cash: 0 | Medic: 0 | Cop: 0 | Admin: 0
[22-07-2019 10:43:37 PM] brandon has edited George Zahi(76561198069712919) Stats! NEW - Bank: 180000 | Cash: 0 | Medic: 0 | Cop: 5 | Admin: 0
[22-07-2019 10:34:05 PM] John Silver has edited [TMP] Col. K. Gunz(76561198070796952) Stats! OLD - Bank: 9806180 | Cash: 0 | Medic: 5 | Cop: 10 | Admin: 0
[22-07-2019 10:34:05 PM] John Silver has edited [TMP] Col. K. Gunz(76561198070796952) Stats! NEW - Bank: 1000000 | Cash: 0 | Medic: 5 | Cop: 10 | Admin: 
[22-07-2019 10:32:30 PM] John Silver has edited [TMP] Col. K. Gunz(76561198070796952) Stats! OLD - Bank: 9806180 | Cash: 0 | Medic: 5 | Cop: 10 | Admin: 0
[22-07-2019 10:32:30 PM] John Silver has edited [TMP] Col. K. Gunz(76561198070796952) Stats! NEW - Bank: 1000000 | Cash: 0 | Medic: 5 | Cop: 10 | Admin: 
[22-07-2019 10:31:21 PM] John Silver has edited [TMP] Col. K. Gunz(76561198070796952) Stats! OLD - Bank: 9806180 | Cash: 0 | Medic: 5 | Cop: 10 | Admin: 0
[22-07-2019 10:31:21 PM] John Silver has edited [TMP] Col. K. Gunz(76561198070796952) Stats! NEW - Bank: 1000000 | Cash: 0 | Medic: 5 | Cop: 10 | Admin: 
[22-07-2019 10:24:04 PM] John Silver has edited Adam Diaz(76561198058426718) Stats! OLD - Bank: 488771 | Cash: 0 | Medic: 0 | Cop: 10 | Admin: 0
[22-07-2019 10:24:04 PM] John Silver has edited Adam Diaz(76561198058426718) Stats! NEW - Bank: 488771 | Cash: 0 | Medic: 0 | Cop: 3 | Admin: 
[22-07-2019 10:14:03 PM] John Silver has edited Roman Clancy(76561198273645911) Stats! OLD - Bank: 188147 | Cash: 0 | Medic: 0 | Cop: 1 | Admin: 0
[22-07-2019 10:14:03 PM] John Silver has edited Roman Clancy(76561198273645911) Stats! NEW - Bank: 188147 | Cash: 0 | Medic: 0 | Cop: 2 | Admin: 
[22-07-2019 10:07:28 PM] brandon has edited [TMP] Pfc. J. Spreezy(76561198427415147) Stats! OLD - Bank: 1324903 | Cash: 0 | Medic: 0 | Cop: 2 | Admin: 0
[22-07-2019 10:07:28 PM] brandon has edited [TMP] Pfc. J. Spreezy(76561198427415147) Stats! NEW - Bank: 1324903 | Cash: 0 | Medic: 0 | Cop: 2 | Admin: 1
[22-07-2019 09:53:25 PM] Chriss James has edited Blurr Xas(76561198128922686) Stats! OLD - Bank: 681060 | Cash: 0 | Medic: 0 | Cop: 0 | Admin: 0
[22-07-2019 09:53:25 PM] Chriss James has edited Blurr Xas(76561198128922686) Stats! NEW - Bank: 781060 | Cash: 0 | Medic: 0 | Cop: 0 | Admin: 
[Monday 22nd of July 2019 09:50:56 PM] John Silver has Issued Adam Diaz(76561198058426718) 30 Warning Points. Reason: RDMING 3 TIMES
[22-07-2019 09:49:02 PM] Chriss James has edited Oakley Authento(76561198799120969) Stats! OLD - Bank: 330159 | Cash: 0 | Medic: 0 | Cop: 6 | Admin: 0
[22-07-2019 09:49:02 PM] Chriss James has edited Oakley Authento(76561198799120969) Stats! NEW - Bank: 630159 | Cash: 0 | Medic: 0 | Cop: 6 | Admin: 
[22-07-2019 09:40:49 PM] John Silver has edited Cole Reiff(76561198304101014) Stats! OLD - Bank: 273 | Cash: 0 | Medic: 0 | Cop: 0 | Admin: 0
[22-07-2019 09:40:49 PM] John Silver has edited Cole Reiff(76561198304101014) Stats! NEW - Bank: 500273 | Cash: 0 | Medic: 0 | Cop: 0 | Admin: 
[Monday 22nd of July 2019 09:36:19 PM] Chriss James has Issued Rocco Tacco(76561198096873137) 5 Warning Points. Reason: RDM
[22-07-2019 09:27:45 PM] John Silver has edited Cadan Pearce(76561198009243047) Stats! OLD - Bank: 73500 | Cash: 0 | Medic: 0 | Cop: 10 | Admin: 0
[22-07-2019 09:27:45 PM] John Silver has edited Cadan Pearce(76561198009243047) Stats! NEW - Bank: 573500 | Cash: 0 | Medic: 0 | Cop: 10 | Admin: 
[22-07-2019 09:27:30 PM] John Silver has edited Cadan Pearce(76561198009243047) Stats! OLD - Bank: 73500 | Cash: 0 | Medic: 0 | Cop: 0 | Admin: 0
[22-07-2019 09:27:30 PM] John Silver has edited Cadan Pearce(76561198009243047) Stats! NEW - Bank: 73500 | Cash: 0 | Medic: 0 | Cop: 10 | Admin: 
[22-07-2019 09:12:39 PM] Ben Jarino has edited Johny hunter(76561198237935076) Stats! OLD - Bank: 1896697 | Cash: 0 | Medic: 0 | Cop: 0 | Admin: 0
[22-07-2019 09:12:39 PM] Ben Jarino has edited Johny hunter(76561198237935076) Stats! NEW - Bank: 2146697 | Cash: 0 | Medic: 0 | Cop: 0 | Admin: 0
[22-07-2019 09:09:29 PM] John Silver has edited Adam Diaz(76561198058426718) Stats! OLD - Bank: 310021 | Cash: 0 | Medic: 0 | Cop: 10 | Admin: 0
[22-07-2019 09:09:29 PM] John Silver has edited Adam Diaz(76561198058426718) Stats! NEW - Bank: 310021 | Cash: 0 | Medic: 0 | Cop: 10 | Admin: 
[22-07-2019 09:09:02 PM] John Silver has edited Adam Diaz(76561198058426718) Stats! OLD - Bank: 310021 | Cash: 0 | Medic: 0 | Cop: 0 | Admin: 0
[22-07-2019 09:09:02 PM] John Silver has edited Adam Diaz(76561198058426718) Stats! NEW - Bank: 310021 | Cash: 0 | Medic: 0 | Cop: 10 | Admin: 
[22-07-2019 09:05:50 PM] pauly has edited Marcus Manarello(76561198161941338) Stats! OLD - Bank: 72804 | Cash: 0 | Medic: 5 | Cop: 0 | Admin: 0
[22-07-2019 09:05:50 PM] pauly has edited Marcus Manarello(76561198161941338) Stats! NEW - Bank: 322804 | Cash: 0 | Medic: 5 | Cop: 0 | Admin: 0
[Monday 22nd of July 2019 08:49:18 PM] AndrewSanderson has Issued Marcus Manarello(76561198161941338) 10 Warning Points. Reason: RDM - https://www.youtube.com/watch?v=d08WS7PzY-s&feature=youtu.be
[22-07-2019 08:40:10 PM] Ben Jarino has edited Adam Sykes(76561198260203395) Stats! OLD - Bank: 305770 | Cash: 0 | Medic: 0 | Cop: 3 | Admin: 0
[22-07-2019 08:40:10 PM] Ben Jarino has edited Adam Sykes(76561198260203395) Stats! NEW - Bank: 855770 | Cash: 0 | Medic: 0 | Cop: 3 | Admin: 0
<b>[22-07-2019 08:34:15 PM] brandon has edited [NATO] B. Trapstar(76561198293578146) Stats! OLD - Bank: 20500 | Cash: 0 | Medic: 0 | Cop: 10 | Admin: 5</b>
<b>[22-07-2019 08:34:15 PM] brandon has edited [NATO] B. Trapstar(76561198293578146) Stats! NEW - Bank: 120500 | Cash: 0 | Medic: 0 | Cop: 10 | Admin: 5</b>
<b>[22-07-2019 08:09:08 PM] brandon has edited [NATO] B. Trapstar(76561198293578146) Stats! OLD - Bank: 15000 | Cash: 0 | Medic: 0 | Cop: 10 | Admin: 5</b>
